weather,calories_per_hour,exercise
outdoor,228,"Windsurfing, sailing"
outdoor,380,"Sailing, competition"
outdoor,228,"Sailing, yachting, ocean sailing"
outdoor,456,"Skiing, water skiing"
outdoor,532,Ski mobiling
outdoor,1217,"Skin diving, fast"
outdoor,951,"Skin diving, moderate"
outdoor,532,"Skin diving, scuba diving"
outdoor,380,Snorkeling
outdoor,228,"Surfing, body surfing or board surfing"
outdoor,380,"Whitewater rafting, kayaking, canoeing"
both,761,"Swimming laps, freestyle, fast"
both,532,"Swimming laps, freestyle, slow"
both,532,Swimming backstroke
both,761,Swimming breaststroke
both,837,Swimming butterfly
both,456,"Swimming leisurely, not laps"
both,609,Swimming sidestroke
both,609,Swimming synchronized
both,761,"Swimming, treading water, fast, vigorous"
both,304,"Swimming, treading water, moderate"
both,304,"Water aerobics, water calisthenics"
both,761,Water polo
both,228,Water volleyball
both,609,Water jogging
outdoor,228,"Diving, springboard or platform"
both,418,"Ice skating, < 9 mph"
both,532,"Ice skating, average speed"
both,684,"Ice skating, rapidly"
both,1141,"Speed skating, ice, competitive"
outdoor,532,"Cross country snow skiing, slow"
outdoor,609,"Cross country skiing, moderate"
outdoor,684,"Cross country skiing, vigorous"
outdoor,1065,"Cross country skiing, racing"
outdoor,1255,"Cross country skiing, uphill"
outdoor,380,"Snow skiing, downhill skiing, light"
outdoor,456,"Downhill snow skiing, moderate"
outdoor,609,"Downhill snow skiing, racing"
outdoor,532,"Sledding, tobagganing, luge"
outdoor,609,Snow shoeing
outdoor,266,Snowmobiling
outdoor,266,General housework
outdoor,380,Cleaning gutters
both,343,Painting
both,190,"Sit, playing with animals"
outdoor,304,"Walk / run, playing with animals"
indoor,266,Bathing dog
outdoor,418,"Mowing lawn, walk, power mower"
outdoor,190,"Mowing lawn, riding mower"
outdoor,266,"Walking, snow blower"
outdoor,228,"Riding, snow blower"
outdoor,456,Shoveling snow by hand
outdoor,327,Raking lawn
outdoor,304,"Gardening, general"
outdoor,304,"Bagging grass, leaves"
outdoor,115,Watering lawn or garden
outdoor,343,"Weeding, cultivating garden"
outdoor,266,"Carpentry, general"
outdoor,609,Carrying heavy loads
outdoor,609,Carrying moderate loads upstairs
outdoor,266,General cleaning
outdoor,190,"Cleaning, dusting"
outdoor,228,Taking out trash
outdoor,304,"Walking, pushing a wheelchair"
indoor,304,"Teach physical education,exercise class"
indoor,494,Teach exercise classes (& participate)
